date,league,season,index,round,home_team,away_team,home_goals,away_goals,home_goals_first_half,away_goals_first_half,link,spectators
2017-11-26,Meisterschaft,2017-18,888,,Lugano,YB,1,2,0,0,http://www.bscyb.ch/news-events?nID=7668,3384
2017-11-30,Schweizer Cup,2017-18,889,,YB,St Gallen,2,1,1,0,http://www.bscyb.ch/news-events?nID=7677,7521
2017-12-03,Meisterschaft,2017-18,890,,Thun,YB,3,1,1,0,http://www.bscyb.ch/news-events?nID=7682,7627
2017-12-07,Europa League,2017-18,891,,YB,Skënderbeu Korça,2,1,0,0,http://www.bscyb.ch/news-events?nID=7691,8029
2017-12-10,Meisterschaft,2017-18,892,,YB,GC,1,1,0,1,http://www.bscyb.ch/news-events?nID=7695,16146
2017-12-17,Meisterschaft,2017-18,893,,Luzern,YB,2,4,0,2,http://www.bscyb.ch/news-events?nID=7703,8968
2018-01-08,Testspiel,2017-18,895,,YB,Vaduz,6,1,2,1,http://www.bscyb.ch/news-events?nID=7718,350
2018-01-14,Testspiel,2017-18,896,,YB,SV Sandhausen,3,0,0,0,,
2018-01-17,Testspiel,2017-18,897,,YB,RB Salzburg,2,0,1,0,http://www.bscyb.ch/news-events?nID=7735,100
2018-01-27,Testspiel,2017-18,898,,YB,Chiasso,3,2,1,1,http://www.bscyb.ch/news-events?nID=7745,760
2018-01-27,Testspiel,2017-18,899,,YB,Xamax,4,2,1,0,http://www.bscyb.ch/news-events?nID=7745,760
2018-02-03,Meisterschaft,2017-18,900,,YB,St Gallen,2,0,1,0,http://www.bscyb.ch/news-events?nID=7757,16647
2018-02-11,Meisterschaft,2017-18,901,,Lausanne,YB,1,4,0,2,http://www.bscyb.ch/news-events?nID=7765,4200
2018-02-18,Meisterschaft,2017-18,902,,YB,Thun,3,1,2,0,http://www.bscyb.ch/news-events?nID=7777,18030
2018-02-24,Meisterschaft,2017-18,903,,YB,Sion,1,0,0,0,http://www.bscyb.ch/news-events?nID=7789,14255
2018-02-27,Schweizer Cup,2017-18,904,,YB,Basel,2,0,0,0,http://www.bscyb.ch/news-events?nID=7794,23519
2018-03-04,Meisterschaft,2017-18,905,,Lugano,YB,2,4,1,2,http://www.bscyb.ch/news-events?nID=7799,4021
2018-03-11,Meisterschaft,2017-18,906,,YB,GC,3,1,1,1,http://www.bscyb.ch/news-events?nID=7811,25403
2018-03-17,Meisterschaft,2017-18,907,,Zürich,YB,1,2,0,0,http://www.bscyb.ch/news-events?nID=7819,10560
